Series ID,Year,Period,Label,Value
LNU01300001,2005,M01,2005 Jan,72.4
LNU01300001,2005,M02,2005 Feb,72.7
LNU01300001,2005,M03,2005 Mar,72.9
LNU01300001,2005,M04,2005 Apr,73.0
LNU01300001,2005,M05,2005 May,73.3
LNU01300001,2005,M06,2005 Jun,74.3
LNU01300001,2005,M07,2005 Jul,74.6
LNU01300001,2005,M08,2005 Aug,74.2
LNU01300001,2005,M09,2005 Sep,73.2
LNU01300001,2005,M10,2005 Oct,73.3
LNU01300001,2005,M11,2005 Nov,73.2
LNU01300001,2005,M12,2005 Dec,72.9
LNU01300001,2006,M01,2006 Jan,72.6
LNU01300001,2006,M02,2006 Feb,72.8
LNU01300001,2006,M03,2006 Mar,73.2
LNU01300001,2006,M04,2006 Apr,73.1
LNU01300001,2006,M05,2006 May,73.4
LNU01300001,2006,M06,2006 Jun,74.2
LNU01300001,2006,M07,2006 Jul,74.4
LNU01300001,2006,M08,2006 Aug,74.0
LNU01300001,2006,M09,2006 Sep,73.4
LNU01300001,2006,M10,2006 Oct,73.5
LNU01300001,2006,M11,2006 Nov,73.5
LNU01300001,2006,M12,2006 Dec,73.4
LNU01300001,2007,M01,2007 Jan,72.9
LNU01300001,2007,M02,2007 Feb,72.9
LNU01300001,2007,M03,2007 Mar,73.0
LNU01300001,2007,M04,2007 Apr,73.0
LNU01300001,2007,M05,2007 May,73.2
LNU01300001,2007,M06,2007 Jun,74.1
LNU01300001,2007,M07,2007 Jul,74.3
LNU01300001,2007,M08,2007 Aug,73.5
LNU01300001,2007,M09,2007 Sep,72.9
LNU01300001,2007,M10,2007 Oct,73.0
LNU01300001,2007,M11,2007 Nov,73.1
LNU01300001,2007,M12,2007 Dec,72.8
LNU01300001,2008,M01,2008 Jan,72.6
LNU01300001,2008,M02,2008 Feb,72.4
LNU01300001,2008,M03,2008 Mar,72.6
LNU01300001,2008,M04,2008 Apr,72.6
LNU01300001,2008,M05,2008 May,73.0
